Graph Size,Cut Value,Time
8,56,0.0020008087158203125
8,68,0.0019996166229248047
8,61,0.0009996891021728516
8,96,0.0023224353790283203
8,70,0.0013768672943115234
8,65,0.0
8,55,0.005082130432128906
8,55,0.0010113716125488281
8,68,0.0029976367950439453
8,43,0.015599727630615234
8,67,0.000997781753540039
8,71,0.0020003318786621094
8,48,0.0025742053985595703
8,56,0.0009989738464355469
8,50,0.003004789352416992
8,69,0.003183126449584961
8,51,0.002143383026123047
8,58,0.002060413360595703
8,62,0.002003192901611328
8,68,0.0021393299102783203
8,60,0.002007722854614258
8,69,0.003696918487548828
8,38,0.002274036407470703
8,44,0.00099945068359375
8,68,0.0020008087158203125
8,49,0.0009989738464355469
8,56,0.0010020732879638672
8,46,0.003286600112915039
8,64,0.0009992122650146484
8,30,0.0009970664978027344
8,61,0.0020008087158203125
8,65,0.0009999275207519531
8,53,0.0014231204986572266
